"Site Number","Name","Town","Description","Street Address","Status","Start Date","Stop Date","Parameters Measured","Location Accuracy","Latitude","Longitude"
230270003,"SEARSPORT","SEARSPORT"," ","SEARS ISLAND-SEARSPORT","I",01/01/1982,," "," ",-68.88278,44.42721
230316001,"YORK","YORK"," ","NUBBLE POINT","I",01/01/1986,," "," ",-70.59193,43.16582
230290032,"SIPAYIK","PERRY","PASSAMAQUODDY RESERVATION","184 COUNTY ROAD","A",03/31/2006,,"O3, PM2.5, WS/WD, TEMP, BP, RH, SOLAR, PRECIP","WITHIN 5M",-67.05921,44.96303
230070004,"JAY","JAY"," ","BOMASTER PROPERTY-JAY HILL","I",01/01/1979,," "," ",-70.22268,44.51122
230311001,"BIDDEFORD","BIDDEFORD"," ","POST OFFICE, ALFRED STREET, BIDDEFORD, M","I",01/01/1971,," "," ",-70.45637,43.49174
230111003,"WATERVILLE","WATERVILLE"," ","STERN'S DEPT. STORE-93 MAIN ST.","I",01/01/1984,," "," ",-69.63021,44.54926
230190002,"BANGOR","BANGOR","KENDUSKEAG PUMP STATION (BUILDING ROOF)","PUMP STATION-WASHINGTON ST.","I",01/01/1977,04/30/2019,"PM10, PM2.5, HAPS","WITHIN 5M",-68.76967,44.79886
230290012,"RCIP","CAMPOBELLO ISLAND","RCIP","ROOSEVELT PARK-CAMPOBELLO IS","I",01/01/1980,," ","WITHIN 1000M",-66.97815,44.86037
230113002,"WINSLOW","WINSLOW"," ","JUNIOR H.S.-DANIELSON ST.","I",01/01/1975,," "," ",-69.62142,44.55156
230030001,"PORTAGE LAKE","PORTAGE LAKE"," ","ROUTE 11, PORTAGE LAKE","I",01/01/1979,," "," ",-68.4719,46.74734
230270007,"STOCKTON SPRINGS","STOCKTON SPRINGS"," ","WEST CAPE ROAD","I",01/01/1985,," "," ",-68.84988,44.46673
230010005,"AUBURN","AUBURN","L/A AIRPORT","LEWISTON JUNCTION ROAD","I",10/18/1978,10/25/2017,"WS/WD","WITHIN 5M",-70.29019,44.04573
230192011,"EAST MILLINOCKET","EAST MILLINOCKET"," ","MUNICIPAL BLDG., 53 MAIN STREET","I",05/01/1988,," "," ",-68.57538,45.62573
230230003,"PHIPPSBURG","PHIPPSBURG","SITE LOCATED NEXT TO NAVY RAKE STATION ON SMALL POINT IN PHIPPSBURG","NAVY ROAD","I",06/11/1993,10/01/2000," "," ",-69.83838,43.70286
230110004,"AUGUSTA","AUGUSTA"," ","BIG L DISCOUNT STORE, WATER STREET, AUGU","I",01/01/1976,," "," ",-69.77317,44.31656
230210001,"GREENVILLE","GREENVILLE"," ","SQUAW BROOK-GREENVILLE, ME","A",01/01/1979,,"ATMOSPHERIC DEP., MERCURY DEP., PRECIP","WITHIN 5M",-69.66366,45.4893
230210002,"GREENVILLE","GREENVILLE","AIRPORT PROPERTY SEVERAL METERS FROM RUNWAY ACCESS","GREENVILLE MUNIC. AIRPORT","I",08/27/1993,," "," ",-69.55477,45.46504
230252002,"SKOWHEGAN","SKOWHEGAN"," ","EATON RIDGE-SCOTT PAPER CO.","I",01/01/1978,," "," ",-69.63063,44.74701
230172009,"RUMFORD","RUMFORD"," ","TAYLOR HILL 4","I",03/15/1988,06/02/1990," "," ",-70.53626,44.54417
230194007,"HOWLAND","HOWLAND","HOWLAND SEED ORCHARD","MEADOW BROOK ROAD","I",09/05/1978,04/29/2019,"O3","WITHIN 5M",-68.70839,45.21557
230011005,"LEWISTON","LEWISTON"," ","POST OFFICE, 49 ASH STREET, LEWISTON, ME","I",01/01/1976,," "," ",-70.21506,44.09754
230131006,"THOMASTON","THOMASTON"," ","SWAMP MARSH ROAD, THOMASTON, MAINE","I",01/01/1980,07/01/1984," "," ",-69.15561,44.0814
230050014,"PORTLAND","PORTLAND"," ","SHELTER SITE-OXFORD & ELM ST","I",01/01/1980,01/01/1999," "," ",-70.26084,43.65974
230112006,"WATERVILLE","WATERVILLE"," ","25 STURTEVANT STREET","I",,," "," ",-69.62075,44.5684
230030003,"T12R8","T12R8"," ","T12R8 SECOND SITE-BALD MTN.","I",01/01/1980,," "," ",-68.73283,46.73079
230010013,"LIVERMORE FALLS","LIVERMORE FALLS"," ","JAMES RIVER/OTIS MILL ROUTE 4","I",12/03/1989,," "," ",-70.19588,44.47667
230253001,"BINGHAM","BINGHAM"," ","BUSHEY & STERLING-MAIN ST.","I",01/01/1975,," "," ",-69.88472,45.05844
230199901,"BANGOR","BANGOR"," ","AIRPORT OPS GODFREY BLVD","I",01/01/1987,," "," ",-68.80983,44.79977
230291003,"CALAIS","CALAIS"," ","CALAIS/WQDY TOWER","I",01/01/1986,," "," ",-67.26274,45.16031
230194003,"OLD TOWN","OLD TOWN","TOP OF APARTMENT BUILDING - 36 METERS FROM ROUTE 2 (MAIN STREET)","MARSH ISLAND APTS-S. MAIN ST.","I",09/05/1978,," "," ",-68.64559,44.93313
230270006,"SEARSPORT","SEARSPORT"," ","SEARSPORT DOT","I",01/01/1985,," "," ",-68.89116,44.47198
230092003,"DEDHAM","DEDHAM"," ","BALD MTN.,DUANE PROP.-DEDHAM","I",01/01/1985,," "," ",-68.61261,44.64929
230130013,"ROCKLAND","ROCKLAND"," ","BENNER HILL","I",01/01/1983,," "," ",-69.14192,44.10392
230010002,"AUBURN","AUBURN"," ","FAIRVIEW SCHOOL-MINOT AVE.","I",01/01/1978,," "," ",-70.24602,44.0846
230191013,"LINCOLN","LINCOLN"," ","LINCOLN MILL - KATAHDIN AVENUE","I",06/11/1991,," "," ",-68.51073,45.37327
230290020,"BAILEYVILLE","BAILEYVILLE","TOWER ON HILL NEAR CHIP N SAW MILL","WOODLAND MILL MAIN STREET NEAR CHIPNSAW","I",07/01/1988,," "," ",-67.41472,45.17451
230031016,"ASHLAND","ASHLAND","ASHLAND O'CLAIR SERVICE STATION","MAIN STREET (ROUTE 11)","I",10/01/1998,," "," ",-68.40315,46.62733
230070001,"FARMINGTON","FARMINGTON"," ","FARMINGTON FAIRGROUND SITE FARMINGTON","I",01/01/1985,," "," ",-70.13773,44.66074
230290009,"BAILEYVILLE","BAILEYVILLE","SUNRISE HARDWARE STORE-WOODLAND","SUNRISE HARDWARE-WOODLAND","I",05/01/1980,04/30/1981," "," ",-67.40305,45.14785
230052002,"CAPE ELIZABETH","CAPE ELIZABETH"," ","PORTLAND HEAD LIGHTHOUSE","I",01/01/1980,," "," ",-70.20918,43.62347
230050019,"PORTLAND","PORTLAND"," ","(PYWCA) YWCA, 187 SPRING STREET","I",01/01/1987,," "," ",-70.26125,43.65406
230191011,"LINCOLN","LINCOLN"," ","LINCOLN STREET NEXT TO LAKE","I",03/03/1990,," "," ",-68.49848,45.36433
230070005,"JAY","JAY"," ","BRACKETTS PROPERTY-CRASH ROAD","I",01/01/1981,," "," ",-70.23253,44.48582
230131003,"ROCKLAND","ROCKLAND"," ","PEN BAY NURSING HM-MAPLE ST.","I",01/01/1976,01/01/1980," "," ",-69.11319,44.10485
230030006,"MADAWASKA","MADAWASKA"," ","FRASER PAPER MILL-BRIDGE ST.","I",09/01/1978,," "," ",-68.35616,47.32837
230197001,"HOLDEN","HOLDEN"," ","COUTT'S-COPELAND HILL-HOLDEN","I",01/01/1977,," "," ",-68.71216,45.36801
230310004,"BIDDEFORD","BIDDEFORD"," ","ROTARY PARK  BIDDEFORD","I",03/01/1990,," "," ",-70.47814,43.49704
230290002,"CALAIS","CALAIS"," ","CALAIS HOSPITAL, FRANKLIN STREET, CALAIS","I",01/01/1980,," "," ",-67.26981,45.17887
230190016,"BRADLEY","BRADLEY","BALL FIELD","90 BROAD STREET","I",06/01/2008,10/30/2009,"TSP, PM10, LEAD","WITHIN 5M",-68.63169,44.92237
230130005,"ROCKLAND","ROCKLAND"," ","N.E.T.&T. CO.-BROADWAY","I",01/01/1978,01/01/1980," "," ",-69.11817,44.09855
230172007,"RUMFORD","RUMFORD"," ","VILLAGE GREEN-ROUTE#108","I",01/01/1983,," "," ",-70.54523,44.54328
230251004,"MADISON","MADISON"," ","MAIN STREET","I",11/01/1989,," "," ",-69.88497,44.78568
230196001,"ORONO","ORONO"," ","MUNICIPAL BUILDING-MAIN ST.","I",01/01/1973,," "," ",-68.67382,44.88264
230051006,"WESTBROOK","WESTBROOK"," ","STROUDWATER ST.-WESTBROOK","I",01/01/1979,," "," ",-70.3369,43.67085
230290007,"BAILEYVILLE","BAILEYVILLE","ON PIPELINE RIGHT-OF-WAY","SEC. TREAT, PIPELINE-WOODLAND","I",01/01/1979,," "," ",-67.40054,45.15313
230090101,"BAR HARBOR","BAR HARBOR","ACADIA NATIONAL PARK RANGER STATION;SITE MOVED JANUARY 1998","ACADIA NP_MACFARLAND HILL","I",01/07/1980,01/01/1999," "," ",-68.26029,44.37369
230050005,"PORTLAND","PORTLAND"," ","JETPORT-GENERAL AVE TERMINAL","I",01/01/1971,," "," ",-70.30895,43.64952
230091006,"BUCKSPORT","BUCKSPORT"," ","240 MAIN STREET  BUCKSPORT MAINE 04416","I",05/10/1990,," "," ",-68.79092,44.57125
230034001,"MADAWASKA","MADAWASKA"," ","FIRE STATION, MAIN STREET, MADAWASKA, ME","I",01/01/1967,," "," ",-68.32172,47.35198
230192007,"MILLINOCKET","MILLINOCKET"," ","KATAHDIN NURS. HM.-WALNUT ST","I",01/01/1977,," "," ",-68.69383,45.65632
230270001,"SEARSPORT","SEARSPORT"," ","PENDLETON ROAD-SEARSPORT","I",01/01/1985,," "," ",-68.88507,44.47218
230131009,"THOMASTON","THOMASTON"," ","BENNER HILL, THOMASTON, MAINE","I",01/01/1980,," "," ",-69.14192,44.10392
230050006,"PORTLAND","PORTLAND"," ","JACK JR.H.S.-EASTERN PROM.","I",01/01/1972,," "," ",-70.2545,43.67202
230051002,"BRUNSWICK","BRUNSWICK"," ","BNAS EXCHANGE-AVE. E-#11","I",01/01/1982,," "," ",-69.92769,43.89541
230198001,"ORRINGTON","ORRINGTON","ORRINGTON CTR DR SCH","CENTER DRIVE SCH(ORRINGTON)CENTER DRIVE","I",11/01/1987,," "," ",-68.81281,44.72619
230032002,"MADAWASKA","MADAWASKA"," ","SECURITY HOME-RIVERVIEW ST.","I",01/01/1975,," "," ",-68.30949,47.35226
230010007,"AUBURN","AUBURN"," ","C.P. WIGHT SCHOOL-R.F.D.#3","I",01/01/1979,," "," ",-70.27666,44.17339
230050010,"PORTLAND","PORTLAND"," ","CHEVERUS H.S.-267 OCEAN AVE.","I",01/29/1980,," "," ",-70.27877,43.67872
230170010,"MEXICO","MEXICO"," ","CARVER'S RES.-FOURTH STREET","I",01/01/1982,," "," ",-70.52653,44.54754
230290005,"BAILEYVILLE","BAILEYVILLE"," ","PIPELINE-POLE G-78-WOODLAND","I",01/01/1977,," "," ",-67.40143,45.14883
230310039,"MT AGGIE","YORK VILLAGE","MT AGGIE","MT. AGAMENTICUS","I",,," ","GPS",-70.69217,43.22132
230030002,"T12R8","T12R8"," ","T12R8, ROAD NO. 40","I",01/01/1979,," "," ",-68.73642,46.73386
230191009,"LINCOLN","LINCOLN"," ","FISH HILL PEAK-LINCOLN","I",01/01/1983,," "," ",-68.50804,45.34572
230056002,"SOUTH PORTLAND","SOUTH PORTLAND"," ","SMVTI-HILDRETH HALL-FORT RD.","I",01/01/1970,," "," ",-70.22811,43.64619
230130011,"ROCKLAND","ROCKLAND"," ","CROCKETT'S POINT-BOX 308","I",03/25/1981,," "," ",-69.10569,44.10576
230192003,"LINCOLN","LINCOLN","LINCOLN POST OFFICE","POST OFFICE-50 FLEMING ST.","I",09/04/1977,04/01/1998," "," ",-68.5053,45.36644
230011008,"LEWISTON","LEWISTON"," ","HOLY CROSS SCHOOL-LISBON ST.","I",01/01/1978,," "," ",-70.19223,44.08067
230010006,"AUBURN","AUBURN"," ","PIONEER PLASTICS-PIONITE RD.","I",01/01/1979,," ","WITHIN 10M",-70.25849,44.06891
230013002,"LEWISTON","LEWISTON","SITE IS LOCATED ON THE NORTH-WESTERN EDGE OF MARCOTTE PARK","BIRCH STREET","I",10/13/1994,07/15/1995," "," ",-70.20394,44.09507
230310007,"SACO","SACO"," ","SPRING STREET - AMES STORE ROOF","I",01/01/1990,," "," ",-70.45004,43.51181
230110001,"AUGUSTA","AUGUSTA"," ","CONY HIGH SCHOOL-CONY CIRCLE","I",01/01/1970,," "," ",-69.76748,44.31624
230194008,"HOLDEN","HOLDEN","TOP OF MOUNTAIN","SUMMIT OF RIDER BLUFF (WLBZ TRANSMITTER)","A",05/19/1993,,"O3","WITHIN 5M",-68.67114,44.73646
230191008,"LINCOLN","LINCOLN"," ","FISH HILL BASE-LINCOLN","I",01/01/1982,," "," ",-68.53752,45.34548
230130014,"OWLS HEAD","OWLS HEAD","OWLS HEAD MET","1 AIRPORT ROAD","I",03/01/2002,08/17/2014,"WS/WD, TEMP","WITHIN 5M",-69.09342,44.06272
230312002,"KENNEBUNKPORT","KENNEBUNKPORT"," ","OCEAN AVE/PARSONS WAY, KENNEBUNKPORT","A",01/01/1983,,"O3","WITHIN 5M",-70.47139,43.34306
230114001,"FARMINGDALE","FARMINGDALE"," ","4800 NORTHERN AV-FARMINGDALE","I",01/01/1982,," "," ",-69.81421,44.24618
230030013,"MADAWASKA","MADAWASKA","TANG'S PALACE","MAIN STREET","I",01/01/1985,06/30/2009,"PM10, PM2.5","WITHIN 5M",-68.32226,47.35504
230172001,"RUMFORD","RUMFORD"," ","BOISE CASCADE MILL-RUMFORD","I",01/01/1978,," "," ",-70.53919,44.55007
230057002,"WESTBROOK","WESTBROOK"," ","N.E.T.&T. CO.-ASH STREET","I",01/01/1979,," "," ",-70.36668,43.6768
230291001,"BAILEYVILLE","BAILEYVILLE"," ","WOODLAND W.T.P.-ELM ST.","I",01/01/1973,," "," ",-67.39496,45.15495
230290011,"EASTPORT","EASTPORT"," ","FLAGG FURN-WATER ST-EASTPORT","I",01/01/1980,," ","WITHIN 1000M",-66.98467,44.90532
230092001,"SOUTHWEST HARBOR","SOUTHWEST HARBOR"," ","USCG STATION-SO. WEST HARBOR","I",01/01/1978,," "," ",-68.31105,44.27514
1,"GILEAD","GILEAD","USGS SITE","USGS SITE","A",09/28/1999,,"ATMOSPHERIC DEPOSITION, PRECIP.","WITHIN 5M",-71.0097,44.4003
230072001,"JAY","JAY"," ","INT. PAPER CO.-LAGOON HILL","I",12/31/1978,," "," ",-70.22828,44.50198
230130007,"ROCKLAND","ROCKLAND"," ","SMALL'S MEAT MKT.-PARK ST.","I",01/01/1978,01/01/1979," "," ",-69.13317,44.10303
230110007,"AUGUSTA","AUGUSTA"," ","AMHI GROUNDS, TRAILER SITE, AUGUSTA, ME","I",01/01/1978,," "," ",-69.76918,44.29948
230131005,"THOMASTON","THOMASTON"," ","MARTIN MARIETTA CEMENT-RT#1","I",05/21/1979,," "," ",-69.15313,44.08995
230051012,"WESTBROOK","WESTBROOK"," ","WAREHOUSE NO. 5, MAIN STREET, WESTBROOK","I",01/01/1981,," "," ",-70.35126,43.68076
230031002,"CARIBOU","CARIBOU"," ","CARIBOU AIRPORT","A",01/01/1982,,"ATMOSPHERIC DEP., MERCURY DEP., PRECIP","WITHIN 5M",-68.01351,46.86733
230130009,"ROCKLAND","ROCKLAND"," ","MOODY'S PONTIAC/BUICK-RT.#1","I",01/01/1978,," "," ",-69.1087,44.11161
230071001,"CARRABASSETT VALLEY","CARRABASSETT VALLEY"," ","SUGARLOAF MOUNTAIN","I",01/01/1986,10/31/1987," "," ",-70.3147,45.03314
230032004,"PRESQUE ISLE","PRESQUE ISLE"," ","SKYWAY SCH.-INDUSTRIAL PARK","I",01/01/1979,," "," ",-68.00798,46.70107
230131001,"ROCKLAND","ROCKLAND"," ","JUNIOR H.S.-38 LINCOLN ST.","I",01/01/1973,," "," ",-69.11569,44.10755
230193005,"OLD TOWN","OLD TOWN"," ","PENOBSCOT SHOE-450 N. MAIN ST","I",01/01/1979,," "," ",-68.65094,44.93892
230031013,"HOULTON","HOULTON","HOULTON FIRE STATION MONITOR SHELTER","HOULTON FIRE STATION","I",12/15/1996,," "," ",-67.82915,46.12385
230010010,"AUBURN","AUBURN"," ","MARTINDALE COUNTRY CLUB","I",01/01/1983,," "," ",-70.27126,44.05293
230192012,"EAST MILLINOCKET","EAST MILLINOCKET"," ","MAIN STREET/MILL ENTRANCE","I",01/01/1988,," "," ",-68.57511,45.62529
230170009,"MEXICO","MEXICO"," ","PUMP HOUSE-DIX AVENUE","I",01/01/1981,," ","WITHIN 10M",-70.54427,44.55491
230031014,"MARS HILL","MARS HILL","TOP OF POST OFFICE BUILDING","MAIN STREET MARS HILL","I",06/04/1998,," "," ",-67.86805,46.51168
5,"THOMASTON - DR","THOMASTON","DARNEY RESIDENCE","OLD COUNTY ROAD","I",06/21/2007,11/19/2007,"TSP","WITHIN 5M",-69.16772,44.08531
230252001,"SKOWHEGAN","SKOWHEGAN"," ","HINKLEY FARM SCHOOL, HINKLEY, MAINE","I",01/01/1978,," "," ",-69.64185,44.65742
230252003,"SKOWHEGAN","SKOWHEGAN"," ","S.D. WARREN SOMERSET MILL RFD No 3","I",03/15/1985,," "," ",-69.66036,44.70562
230197002,"BRADLEY","BRADLEY"," ","CRAM STREET, BRADLEY, MAINE","I",01/01/1977,," "," ",-68.62653,44.91466
230190010,"BANGOR","BANGOR"," ","(BANGB) AIR NATIONAL GUARD BUILDING 489","I",06/01/1987,04/13/2017,"WS/WD","WITHIN 5M",-68.82039,44.81655
230270002,"BROOKS","BROOKS"," ","RYAN PROP.-RT.#139-BROOKS","I",01/01/1981,," "," ",-69.15306,44.54415
230010003,"AUBURN","AUBURN"," ","CMVTI-1250 TURNER STREET","I",01/01/1978,," "," ",-70.23955,44.13329
230310008,"SACO","SACO","MONITOR ON CONCRETE PAD AT TREATMENT PLANT","68 FRONT STREET, SACO, MAINE","I",01/11/1999,," ","WITHIN 5M",-70.4422,43.49482
230050011,"PORTLAND","PORTLAND"," ","SELTZER & RYDHOLM-250 CANCO RD.","I",01/01/1980,," "," ",-70.28452,43.68614
230290006,"BAILEYVILLE","BAILEYVILLE"," ","G.P. MILL-PAPER MACH. BLDG.","I",01/01/1979,," "," ",-67.40832,45.15793
230194011,"HAMPDEN","HAMPDEN","US ROUTE 202 - HAMPDEN MERCURY VAPOR SITE","ROUTE 202 - HAMPDEN","I",10/01/1998,," "," ",-68.83069,44.75821
230310005,"BIDDEFORD","BIDDEFORD"," ","57 BIRCH STREET  EAGLES AERIE","I",01/01/1990,01/01/1998," "," ",-70.45607,43.48967
230011003,"LEWISTON","LEWISTON"," ","LEWISTON HIGH SCH.-EAST AVE.","I",01/01/1975,," "," ",-70.20123,44.09318
230090202,"ELLSWORTH","ELLSWORTH","EXXON GAS STATION TRIANGLE ELLSWORTH HIGH ST","TRIANGLE EXXON, ELLSWORTH","I",03/17/1995,03/31/1997," "," ",-68.40732,44.5321
230050003,"BRUNSWICK","BRUNSWICK"," ","RT 24-BETWEEN CUMBERLAND FARMS & MCDONAL","I",01/01/1987,," "," ",-69.90853,43.90457
230191003,"BREWER","BREWER"," ","WTP, WASTEWATER TREATMENT PLANT, OAK ST.","I",01/01/1983,," "," ",-68.85888,44.77454
230070006,"JAY","JAY"," ","WATER T.P.-ANDROSCOGGIN MILL","I",01/01/1981,," "," ",-70.24484,44.50279
230190011,"MILLINOCKET","MILLINOCKET"," ","GNP CO.-E.&R. BUILDING","I",01/01/1978,," "," ",-68.70533,45.64977
230115001,"WATERVILLE","WATERVILLE"," ","HATHAWAY SHIRT CO.-WATER ST.","I",01/01/1975,," "," ",-69.62893,44.54701
230250001,"ANSON","ANSON"," ","MARTINEZ PROP-HILTON HILL ROAD","I",01/01/1981,," "," ",-69.92444,44.80337
230012001,"LIVERMORE FALLS","LIVERMORE FALLS"," ","LIVERMORE GRAM. SCH-CEDAR ST.","I",01/01/1973,," "," ",-70.18128,44.46971
230091003,"BUCKSPORT","BUCKSPORT"," ","BUCKS MILL ROAD-DEMASO SITE","I",04/01/1986,," "," ",-68.77901,44.59086
230110008,"AUGUSTA","AUGUSTA"," ","AUGUSTA STATE AIRPORT","A",01/20/1981,,"WS/WD","WITHIN 5M",-69.79189,44.31789
230052005,"YARMOUTH","YARMOUTH"," ","SHOREVIEW DRIVE-COUSINS IS.","I",01/01/1982,," "," ",-70.14182,43.75796
230171001,"SOUTH PARIS","SOUTH PARIS"," ","BESSY MOTORS CO.-SO. PARIS","I",01/01/1978,," "," ",-70.52417,44.21537
230193002,"LINCOLN","LINCOLN"," ","VOCA. EDU. BLDG-W. BROADWAY","I",01/01/1977,," "," ",-68.50698,45.36416
230172004,"RUMFORD","RUMFORD"," ","HIGH SCHOOL-HANCOCK STREET","I",01/01/1979,," "," ",-70.55842,44.56331
230290010,"EASTPORT","EASTPORT"," ","EASTPORT ELEM. SCHOOL-HIGH ST","I",01/01/1980,," "," ",-66.99167,44.90795
230050008,"PORTLAND","PORTLAND"," ","MAINE NATN'L BNK-CONGRESS ST","I",12/22/1978,," "," ",-70.2581,43.65814
230192001,"EAST MILLINOCKET","EAST MILLINOCKET"," ","GNP-WASTEWATER TREATMENT PLANT","I",01/01/1977,," "," ",-68.58254,45.61921
230315001,"SANFORD","SANFORD"," ","SANFORD HIGH SCHOOL, MAIN STREET, SANFORD","I",01/01/1971,," "," ",-70.76069,43.45207
230230004,"REID SP","GEORGETOWN","REID SP","REID STATE PARK","I",04/01/2002,," ","GPS",-69.73167,43.79348
230170002,"MEXICO","MEXICO"," ","KIMBALL SCH.-PORTER BRIDGE RD","I",01/01/1975,," "," ",-70.54959,44.56253
230290001,"CALAIS","CALAIS"," ","POST OFFICE, 50 NORTH STREET, CALAIS, ME","I",01/01/1980,," "," ",-67.2791,45.18756
230012002,"LIVERMORE FALLS","LIVERMORE FALLS","SITE IS LOCATED IN THE PARKING LOT OF MURRAY HALL","10-12 MILLETT ST LIVERMORE FALLS MAINE","I",02/01/1991,03/22/1995," "," ",-70.19013,44.47532
230031100,"MICMAC","PRESQUE ISLE","MICMAC","8 NORTHERN ROAD","A",01/01/2004,,"O3, PM2.5, WS/WD, TEMP, BP, RH, SOLAR, PRECIP, SPEC. PARTICULATES","WITHIN 5M",-68.033,46.69643
230191006,"LINCOLN","LINCOLN"," ","TOWN GARAGE-PARK STREET","I",01/01/1980,12/31/1983," "," ",-68.51516,45.36375
230172005,"RUMFORD","RUMFORD"," ","TAYLOR MOUNTAIN-1","I",01/01/1982,05/02/1995," "," ",-70.53846,44.54648
230171005,"SOUTH PARIS","SOUTH PARIS"," ","WILNER WOOD PROD.-SO. PARIS","I",12/01/1977,," "," ",-70.52675,44.21804
230050004,"PORTLAND","PORTLAND"," ","HIGH SCH.-284 CUMBERLAND AVE","I",01/01/1970,," "," ",-70.25987,43.6589
230056003,"YARMOUTH","YARMOUTH"," ","SPRUCE POINT ROAD, YARMOUTH, MAINE","I",01/01/1981,," "," ",-70.15121,43.74841
230010012,"LEWISTON","LEWISTON"," ","N.E.T.+T. BLDG.-66 ASH ST.","I",01/01/1981,," "," ",-70.21468,44.09745
230192004,"MILLINOCKET","MILLINOCKET"," ","KATAHDIN FCU-1000 CENTRAL ST","I",01/01/1977,," "," ",-68.68449,45.65755
230290015,"BAILEYVILLE","BAILEYVILLE"," ","CNS/WAFERBOARD MILL-WOODLAND","I",01/01/1981,," "," ",-67.41074,45.18609
230030007,"MADAWASKA","MADAWASKA"," ","TOWN GARAGE-MAIN ROAD","I",01/01/1979,," "," ",-68.30199,47.35392
230011006,"LEWISTON","LEWISTON"," ","LEWISTON HIGH SCH.-EAST AVE.","I",01/01/1975,," "," ",-70.20123,44.09318
230195001,"OLD TOWN","OLD TOWN"," ","SEAWALL CO-147 CENTER ST.","I",01/01/1973,," "," ",-68.64691,44.93423
8,"MEXICO","MEXICO","SAD#43 MAINTENANCE GARAGE - PORTER BRIDGE ROAD","SAD#43 MAINTENANCE GARAGE - PORTER BRIDGE ROAD","I",,," ","WITHIN 10M",-70.54908,44.56202
230090102,"CADILLAC MTN","BAR HARBOR","CADILLAC MTN","TOP OF CADILLAC MOUNTAIN","A",07/24/1995,,"O3, NOY, VOC'S, WS/WD, TEMP, RH","WITHIN 5M",-68.22722,44.35167
230193001,"LINCOLN","LINCOLN"," ","MATTANAWCOOK ACAD.-SCHOOL ST","I",01/01/1973,," "," ",-68.50392,45.39341
230193010,"BRADLEY","BRADLEY"," ","BUCHANNAN PROPERTY-MAIN ST.","I",01/01/1981,," "," ",-68.62956,44.91365
230170005,"MEXICO","MEXICO"," ","HOPE TRAINING SCH.-THIRD ST.","I",01/01/1977,," ","WITHIN 10M",-70.53838,44.5568
230172011,"RUMFORD","RUMFORD","IN 8 X 8 ECTO SHELTER LOCATED IN PARKING LOT EAST OF RUMFORD AVENUE.","RUMFORD AVENUE AREA PARKING LOT","A",07/01/1998,,"PM2.5, HAPS","WITHIN 5M",-70.54632,44.55142
230031008,"PRESQUE ISLE","PRESQUE ISLE","DEP REGIONAL OFFICE","58 CENTRAL DR (SKYWAY IND PK)","A",02/23/1983,,"PM2.5, WS/WD","WITHIN 5M",-68.03893,46.69838
230230005,"CHOP PT","WOOLWICH","CHOP PT","UNKNOWN","I",,," ","GPS",-69.81283,44.01403
230055003,"WESTBROOK","WESTBROOK"," ","TREATMENT PLANT, PARK ROAD, WESTBROOK, M","I",01/01/1979,," ","WITHIN 100M",-70.34909,43.69298
230010009,"AUBURN","AUBURN"," ","WELLS PROPERTY, WOODBURY HILL ROAD","I",01/01/1982,," "," ",-70.16961,44.04163
230031005,"PRESQUE ISLE","PRESQUE ISLE"," ","NORTHEASTLAND HOTEL-MAIN ST.","I",01/01/1980,," "," ",-68.01531,46.68032
230091002,"BUCKSPORT","BUCKSPORT"," ","FIRE STATION-FRANKLIN ST","I",01/01/1981,," "," ",-68.79639,44.57356
230090003,"BAR HARBOR","BAR HARBOR"," ","MCFARLAND HILL, RANGER HDQTS., ACADIA NA","I",01/01/1980,," "," ",-68.25863,44.37369
230170007,"MEXICO","MEXICO"," ","RIVERSIDE SERVICE STA.-RT#2","I",01/01/1980,," "," ",-70.52705,44.54348
230050009,"PORTLAND","PORTLAND"," ","CMP SUBSTATION-UNION STREET","I",01/01/1979,," "," ",-70.25535,43.6562
230210003,"DOVER-FOXCROFT","DOVER-FOXCROFT","SHELTER IN HAY FIELD 30 METERS EAST OF FARM POND.","DOVER-ANDREWS PROPERTY 105 BEAR HILL RD","I",01/02/1998,," "," ",-69.21331,45.16407
230054003,"SOUTH PORTLAND","SOUTH PORTLAND"," ","RIGBY RAILYARD-RUMMERY ROAD","I",01/01/1980,," "," ",-70.29662,43.62044
230071002,"CARRABASSETT VALLEY","CARRABASSETT VALLEY"," ","SKI TOUR AREA SUGARLOAF MTN BASE","I",07/01/1987,," "," ",-70.28667,45.08522
230190014,"MILLINOCKET","MILLINOCKET","test","MUNC. WASTEWTR T.P.-YORK ST.","I",01/01/1982,," ","WITHIN 1000M",-68.67508,45.64015
230011007,"LEWISTON","LEWISTON"," ","HUMAN SVCS. BLDG.-ASH ST.","I",01/01/1976,," "," ",-70.21629,44.09662
230050020,"PORTLAND","PORTLAND"," ","1945 CONGRESS STREET PORTLAND","I",05/09/1987,," "," ",-70.32084,43.65352
230033001,"FORT KENT","FORT KENT"," ","UMFK-CYR HALL PHYSICAL PLANT","I",12/01/1982,," "," ",-68.58982,47.25086
230058002,"YARMOUTH","YARMOUTH"," ","GRANITE ROAD-YARMOUTH","I",01/01/1980,," "," ",-70.16585,43.83092
0,"FRYEBURG","FRYEBURG"," ","FRYEBURG AIRPORT","I",,,"","GPS",-70.94798,43.98879
230054001,"POWNAL","POWNAL"," ","TOWN HALL, ROUTE 9, POWNAL, MAINE 04069","I",01/01/1979,," "," ",-70.15226,43.89354
